step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,ingestion_timestamp,source_batch_id
547,CASH_IN,269313.07,C582030100,1141.0,270454.07,C1905670099,506081.66,236768.58,0,0,2026-09-25 20:41:52.360172,full_load
255,CASH_OUT,240669.28,C1920079836,268628.22,27958.94,C698201800,1037865.93,1278535.21,0,0,2026-09-25 20:41:52.360172,full_load
129,CASH_IN,82401.05,C441737640,7561385.36,7643786.41,C952094725,506350.93,423949.88,0,0,2026-09-25 20:41:52.360172,full_load
353,CASH_OUT,142961.56,C1560038568,1348.0,0.0,C1381382716,0.0,142961.56,0,0,2026-09-25 20:41:52.360172,full_load
138,CASH_OUT,37457.73,C716780390,130406.0,92948.27,C572837509,242242.2,279699.93,0,0,2026-09-25 20:41:52.360172,full_load
276,CASH_IN,277655.94,C1438918334,109687.5,387343.44,C2100947792,955339.19,677683.25,0,0,2026-09-25 20:41:52.360172,full_load
190,TRANSFER,318826.34,C1039608237,328.0,0.0,C1293023133,0.0,318826.34,0,0,2026-09-25 20:41:52.360172,full_load
282,PAYMENT,10943.53,C197283443,46814.25,35870.72,M2005419167,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
346,CASH_IN,50161.7,C190998702,412839.0,463000.7,C1654203986,6560.89,0.0,0,0,2026-09-25 20:41:52.360172,full_load
400,TRANSFER,656706.9,C1513965786,0.0,0.0,C1659592378,780699.05,1437405.94,0,0,2026-09-25 20:41:52.360172,full_load
232,PAYMENT,49630.23,C164514811,0.0,0.0,M1933344212,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
286,PAYMENT,8925.73,C258941812,156.0,0.0,M489045473,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
177,CASH_IN,149362.95,C1785344981,2225194.1,2374557.05,C300142229,6210238.61,6060875.66,0,0,2026-09-25 20:41:52.360172,full_load
138,PAYMENT,56720.13,C1022962725,130460.31,73740.18,M245131288,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
235,CASH_OUT,188385.58,C1012039178,4560.0,0.0,C1245443996,445798.78,634184.36,0,0,2026-09-25 20:41:52.360172,full_load
131,PAYMENT,41026.2,C719199165,11541.0,0.0,M1720274146,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
688,PAYMENT,14634.93,C487923017,60.0,0.0,M170233649,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
35,TRANSFER,1519553.61,C1965072525,22106.0,0.0,C576654614,0.0,1530922.55,0,0,2026-09-25 20:41:52.360172,full_load
399,PAYMENT,9093.84,C1105958584,60590.0,51496.16,M1081809961,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
619,CASH_IN,250154.9,C1972758118,2119819.88,2369974.78,C490351799,895000.92,644846.02,0,0,2026-09-25 20:41:52.360172,full_load
329,PAYMENT,56961.8,C190236374,58874.0,1912.2,M1891662892,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
406,CASH_OUT,803.77,C421934531,0.0,0.0,C505968942,995038.62,995842.39,0,0,2026-09-25 20:41:52.360172,full_load
1,TRANSFER,20128.0,C137533655,20128.0,0.0,C1848415041,0.0,0.0,1,0,2026-09-25 20:41:52.360172,full_load
189,PAYMENT,3456.88,C613048830,18369.04,14912.17,M1338887467,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
230,CASH_OUT,20442.35,C1319541953,0.0,0.0,C285292791,323510.95,383970.09,0,0,2026-09-25 20:41:52.360172,full_load
330,CASH_OUT,143470.74,C1401604589,0.0,0.0,C555045915,852779.81,996250.55,0,0,2026-09-25 20:41:52.360172,full_load
235,PAYMENT,26912.96,C1879387877,84840.0,57927.04,M530214518,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
8,TRANSFER,1156900.09,C249569791,18992.0,0.0,C1671386208,61736.73,6214174.81,0,0,2026-09-25 20:41:52.360172,full_load
16,CASH_OUT,281806.28,C1214395768,29370.0,0.0,C658664214,295843.31,250047.37,0,0,2026-09-25 20:41:52.360172,full_load
330,CASH_IN,257629.67,C1023691246,32791.0,290420.67,C1069353283,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
254,PAYMENT,2230.81,C1100569298,0.0,0.0,M1340178348,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
15,CASH_IN,19416.22,C853813118,12478321.19,12497737.41,C152517278,8388308.97,8082704.42,0,0,2026-09-25 20:41:52.360172,full_load
258,CASH_OUT,142834.5,C44575764,0.0,0.0,C817996331,3276728.3,3419562.8,0,0,2026-09-25 20:41:52.360172,full_load
138,PAYMENT,851.34,C26575149,194821.0,193969.66,M1742147996,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
331,CASH_OUT,88577.93,C429098641,0.0,0.0,C345046332,149207.54,199512.38,0,0,2026-09-25 20:41:52.360172,full_load
213,PAYMENT,18285.68,C347390602,1405.0,0.0,M612050863,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
514,PAYMENT,909.86,C144397537,437527.15,436617.29,M1639252645,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
379,CASH_OUT,17216.14,C2031058034,17216.14,0.0,C413925568,30730.87,47947.01,1,0,2026-09-25 20:41:52.360172,full_load
234,CASH_OUT,194889.71,C1818429985,0.0,0.0,C1355971911,337363.99,532253.71,0,0,2026-09-25 20:41:52.360172,full_load
134,CASH_OUT,18154.02,C181194829,0.0,0.0,C1013594774,6756.71,24910.73,0,0,2026-09-25 20:41:52.360172,full_load
11,PAYMENT,4112.18,C1188989787,3944.0,0.0,M1620539180,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
230,CASH_IN,163730.7,C1135037196,10803971.37,10967702.06,C728736520,6363156.82,6199426.12,0,0,2026-09-25 20:41:52.360172,full_load
158,PAYMENT,10181.23,C828680914,161195.0,151013.77,M1150867627,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
188,PAYMENT,9446.02,C352583514,31740.65,22294.64,M1707519240,0.0,0.0,0,0,2026-09-25 20:41:52.360172,full_load
