step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,ingestion_timestamp,source_batch_id
18,CASH_OUT,164524.47,C206806098,367.0,0.0,C2135806154,916912.87,1805499.29,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,TRANSFER,584481.18,C707504543,0.0,0.0,C154028143,1346926.28,1882709.8,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
10,PAYMENT,12843.17,C67516312,29076.79,16233.62,M1720195821,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
19,PAYMENT,20639.5,C847179439,52278.0,31638.5,M1033207950,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
36,CASH_OUT,263792.51,C1556842055,0.0,0.0,C1069276320,368970.94,956132.48,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
17,CASH_OUT,51553.9,C34901611,0.0,0.0,C1814290211,584413.66,635967.56,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
20,PAYMENT,11345.3,C1607644231,0.0,0.0,M1717398817,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
37,CASH_IN,350161.18,C1013242592,104596.0,454757.18,C196830887,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,CASH_IN,5269.93,C875883218,49239.0,54508.93,C1711645378,0.0,180970.73,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
17,CASH_OUT,230622.89,C1807691235,815173.0,584550.11,C90285221,197724.81,638334.85,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
35,CASH_OUT,251858.97,C1210329179,0.0,0.0,C1179402601,3438728.58,3690587.54,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
13,CASH_OUT,137714.34,C719290111,0.0,0.0,C1279610437,12566297.93,12704012.27,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
36,CASH_OUT,285720.25,C1808843056,17226.0,0.0,C575858779,760792.43,2048861.45,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
37,CASH_OUT,45921.45,C1831739003,757530.0,711608.55,C1994293117,0.0,45921.45,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
10,CASH_IN,73284.91,C312563304,1487132.21,1560417.13,C203577234,7491358.45,7418073.54,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
11,TRANSFER,829796.51,C752917947,0.0,0.0,C1063418068,1070035.73,1899832.24,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
